term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
60 months,RENT,B,major_purchase,11.55%,CO,Current,Individual,15000,10+ years,100000.0,0.67,0,6.10%,25,0,"",60,10,6.0,43.76206961077844,0.67,No
60 months,OWN,A,debt_consolidation,6.67%,CT,Current,Individual,23500,3 years,146000.0,11.31,0,64.60%,30,0,"",60,3,64.0,43.76206961077844,11.31,No
60 months,MORTGAGE,D,credit_card,17.97%,VA,Current,Individual,22500,3 years,120000.0,30.4,0,77.10%,36,0,"",60,3,77.0,43.76206961077844,30.4,No
60 months,MORTGAGE,E,debt_consolidation,27.27%,KS,Current,Joint App,32000,10+ years,70000.0,54.61,0,62.20%,49,0,35.19,60,10,62.0,43.76206961077844,54.61,No
60 months,MORTGAGE,C,debt_consolidation,16.91%,VA,Current,Individual,11025,10+ years,70000.0,24.4,1,30%,35,0,"",60,10,30.0,43.76206961077844,24.4,No
36 months,OWN,B,credit_card,10.47%,WA,Current,Individual,35000,1 year,156000.0,38.63,0,92.80%,38,0,"",36,1,92.0,43.76206961077844,38.63,No
60 months,RENT,B,major_purchase,10.47%,CA,Current,Individual,15000,10+ years,70000.0,24.91,0,7.20%,21,0,"",60,10,7.0,43.76206961077844,24.91,No
36 months,RENT,C,credit_card,14.47%,CA,Current,Individual,30000,10+ years,54000.0,19.89,0,94.60%,13,0,"",36,10,94.0,43.76206961077844,19.89,No
36 months,RENT,C,credit_card,15.02%,CA,Current,Individual,20000,10+ years,45760.0,27.17,0,97.70%,6,0,"",36,10,97.0,43.76206961077844,27.17,No
36 months,MORTGAGE,D,other,19.92%,AZ,Current,Individual,3000,10+ years,110000.0,8.0,1,81.70%,23,0,"",36,10,81.0,43.76206961077844,8.0,No
36 months,MORTGAGE,B,credit_card,10.47%,FL,Current,Individual,10000,n/a,60000.0,30.68,0,21%,40,0,"",36,"",21.0,43.76206961077844,30.68,No
60 months,OWN,C,debt_consolidation,15.02%,CA,Current,Individual,10000,9 years,40000.0,19.05,1,39.70%,19,0,"",60,9,39.0,43.76206961077844,19.05,No
60 months,MORTGAGE,C,credit_card,15.02%,MI,Current,Individual,30000,n/a,106000.0,13.06,0,35.90%,29,0,"",60,"",35.0,43.76206961077844,13.06,No
60 months,MORTGAGE,C,credit_card,16.14%,VA,Current,Individual,22000,2 years,85200.0,27.04,0,68.60%,23,0,"",60,2,68.0,43.76206961077844,27.04,No
36 months,RENT,A,debt_consolidation,7.21%,MT,Current,Individual,30000,4 years,58000.0,23.4,0,31.70%,13,0,"",36,4,31.0,43.76206961077844,23.4,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,IL,Current,Individual,13000,10+ years,57500.0,12.19,0,29.80%,23,0,"",36,10,29.0,43.76206961077844,12.19,No
60 months,MORTGAGE,D,home_improvement,17.97%,NY,Current,Individual,10000,10+ years,22617.23,28.77,0,87.70%,8,0,"",60,10,87.0,43.76206961077844,28.77,No
36 months,MORTGAGE,A,credit_card,6.67%,NY,Current,Individual,12500,8 years,95000.0,18.33,0,70.70%,23,0,"",36,8,70.0,43.76206961077844,18.33,No
36 months,RENT,C,credit_card,16.14%,WA,Current,Individual,8775,n/a,38000.0,6.44,0,47.40%,8,0,"",36,"",47.0,43.76206961077844,6.44,No
60 months,MORTGAGE,D,debt_consolidation,17.97%,CA,Current,Individual,20000,< 1 year,147500.0,1.51,0,28.50%,14,0,"",60,1,28.0,43.76206961077844,1.51,No
36 months,RENT,C,credit_card,16.14%,CA,Current,Individual,8500,8 years,73000.0,37.15,0,78.10%,20,0,"",36,8,78.0,43.76206961077844,37.15,No
36 months,RENT,A,debt_consolidation,6.11%,CA,Current,Individual,7000,9 years,67576.0,2.59,0,9.70%,7,0,"",36,9,9.0,43.76206961077844,2.59,No
36 months,RENT,A,debt_consolidation,7.21%,NJ,Current,Individual,36000,2 years,147500.0,17.08,0,25.10%,35,0,"",36,2,25.0,43.76206961077844,17.08,No
36 months,RENT,B,debt_consolidation,11.55%,IL,Current,Individual,20000,5 years,81000.0,27.04,0,35.60%,26,0,"",36,5,35.0,43.76206961077844,27.04,No
36 months,RENT,A,credit_card,6.11%,CO,Current,Individual,8000,< 1 year,30100.0,33.33,1,29.40%,21,0,"",36,1,29.0,43.76206961077844,33.33,No
60 months,RENT,B,debt_consolidation,12.73%,TN,Current,Individual,25000,2 years,41000.0,17.36,0,51.80%,12,0,"",60,2,51.0,43.76206961077844,17.36,No
36 months,RENT,C,debt_consolidation,16.14%,CA,Current,Individual,17000,10+ years,75830.0,32.6,0,31.20%,26,0,"",36,10,31.0,43.76206961077844,32.6,No
36 months,OWN,D,other,22.35%,GA,Current,Individual,15000,3 years,32000.0,33.5,0,73.50%,13,0,"",36,3,73.0,43.76206961077844,33.5,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,AL,Fully Paid,Individual,25000,10+ years,70000.0,33.0,0,51%,21,0,"",36,10,51.0,43.76206961077844,33.0,No
36 months,RENT,C,credit_card,16.91%,FL,Current,Individual,15000,3 years,35500.0,15.75,0,91.20%,9,0,"",36,3,91.0,43.76206961077844,15.75,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,AL,Current,Individual,10000,10+ years,85000.0,12.99,0,28.10%,18,0,"",60,10,28.0,43.76206961077844,12.99,No
60 months,MORTGAGE,A,credit_card,7.21%,MO,Current,Joint App,20000,10+ years,35000.0,45.27,0,36.20%,28,0,25.64,60,10,36.0,43.76206961077844,45.27,No
36 months,MORTGAGE,E,debt_consolidation,25.34%,FL,Current,Individual,6900,10+ years,24000.0,29.95,1,49%,23,0,"",36,10,49.0,43.76206961077844,29.95,No
60 months,MORTGAGE,E,other,27.27%,TX,Current,Joint App,30000,6 years,56000.0,47.15,2,26%,38,0,26.38,60,6,26.0,43.76206961077844,47.15,No
36 months,RENT,A,credit_card,7.84%,TX,Current,Individual,15000,6 years,112000.0,11.73,0,49%,29,0,"",36,6,49.0,43.76206961077844,11.73,No
36 months,RENT,A,credit_card,8.46%,IL,Current,Individual,12000,5 years,110000.0,13.95,0,37.50%,17,0,"",36,5,37.0,43.76206961077844,13.95,No
36 months,RENT,A,debt_consolidation,7.84%,MA,Current,Individual,5000,2 years,44000.0,19.23,0,15.70%,18,0,"",36,2,15.0,43.76206961077844,19.23,No
36 months,MORTGAGE,B,debt_consolidation,12.73%,ID,Fully Paid,Individual,8000,5 years,70000.0,12.82,0,20.60%,30,0,"",36,5,20.0,43.76206961077844,12.82,No
36 months,MORTGAGE,C,debt_consolidation,16.91%,CT,Current,Individual,35000,10+ years,165000.0,18.01,0,28.10%,28,0,"",36,10,28.0,43.76206961077844,18.01,No
60 months,RENT,B,debt_consolidation,10.47%,MD,Current,Individual,26475,3 years,260000.0,4.99,0,23.80%,8,0,"",60,3,23.0,43.76206961077844,4.99,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,WY,Current,Individual,30000,8 years,89000.0,35.37,0,56%,24,0,"",60,8,56.0,43.76206961077844,35.37,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,NC,Current,Individual,4000,6 years,45000.0,10.34,1,11.80%,18,0,"",36,6,11.0,43.76206961077844,10.34,No
36 months,RENT,B,credit_card,11.55%,TX,Current,Individual,5000,3 years,50000.0,3.89,0,34.10%,3,0,"",36,3,34.0,43.76206961077844,3.89,No
36 months,OWN,B,debt_consolidation,11.55%,OR,Current,Individual,17000,10+ years,58000.0,22.59,0,52%,31,0,"",36,10,52.0,43.76206961077844,22.59,No
36 months,OWN,A,credit_card,7.84%,KS,Current,Individual,10000,10+ years,68000.0,11.69,0,30.30%,26,0,"",36,10,30.0,43.76206961077844,11.69,No
60 months,RENT,C,other,15.02%,TX,Fully Paid,Individual,10000,10+ years,90000.0,14.69,0,23.80%,33,0,"",60,10,23.0,43.76206961077844,14.69,No
36 months,RENT,D,debt_consolidation,17.97%,HI,Late (31-120 days),Individual,12000,1 year,125798.0,7.29,0,23.30%,22,0,"",36,1,23.0,43.76206961077844,7.29,Yes
36 months,MORTGAGE,C,home_improvement,14.47%,PA,Current,Individual,15000,< 1 year,110000.0,31.71,1,45.50%,29,0,"",36,1,45.0,43.76206961077844,31.71,No
36 months,RENT,C,credit_card,15.02%,FL,Current,Individual,10500,1 year,50000.0,23.6,0,18.20%,25,0,"",36,1,18.0,43.76206961077844,23.6,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,AR,Current,Individual,15000,4 years,112000.0,18.46,0,67.50%,30,0,"",60,4,67.0,43.76206961077844,18.46,No
36 months,RENT,B,debt_consolidation,11.55%,CA,Current,Individual,8500,2 years,60000.0,18.3,0,24.80%,17,0,"",36,2,24.0,43.76206961077844,18.3,No
60 months,MORTGAGE,E,home_improvement,24.37%,CA,Current,Individual,24000,2 years,172000.0,13.85,0,39.90%,13,0,"",60,2,39.0,43.76206961077844,13.85,No
36 months,MORTGAGE,A,other,8.46%,TN,Current,Individual,15000,10+ years,80000.0,9.29,0,69.70%,12,0,"",36,10,69.0,43.76206961077844,9.29,No
36 months,MORTGAGE,A,credit_card,6.11%,CA,Current,Joint App,16000,10+ years,77000.0,23.16,0,74.80%,25,0,19.63,36,10,74.0,43.76206961077844,23.16,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,MA,Current,Individual,10000,10+ years,100000.0,10.02,1,58.60%,15,0,"",36,10,58.0,43.76206961077844,10.02,No
60 months,MORTGAGE,D,debt_consolidation,18.94%,CA,Current,Individual,24000,10+ years,190000.0,2.48,2,61.30%,15,0,"",60,10,61.0,43.76206961077844,2.48,No
60 months,RENT,C,debt_consolidation,15.02%,TX,Current,Individual,35000,7 years,100000.0,5.06,0,59.40%,10,0,"",60,7,59.0,43.76206961077844,5.06,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,RI,Current,Individual,22000,7 years,44000.0,21.17,0,41.70%,15,0,"",36,7,41.0,43.76206961077844,21.17,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,CA,Current,Individual,20500,< 1 year,59000.0,12.92,0,67.90%,13,0,"",60,1,67.0,43.76206961077844,12.92,No
36 months,MORTGAGE,C,credit_card,13.56%,NJ,Current,Individual,20000,10+ years,87000.0,31.59,1,41.40%,34,0,"",36,10,41.0,43.76206961077844,31.59,No
60 months,MORTGAGE,A,credit_card,6.67%,OH,Current,Individual,40000,5 years,160000.0,16.19,0,56%,21,0,"",60,5,56.0,43.76206961077844,16.19,No
36 months,MORTGAGE,A,other,8.46%,CA,Current,Individual,5400,10+ years,38000.0,9.34,1,31.20%,22,0,"",36,10,31.0,43.76206961077844,9.34,No
36 months,ANY,E,debt_consolidation,23.40%,FL,Current,Individual,10000,2 years,55000.0,36.66,0,60.90%,15,0,"",36,2,60.0,43.76206961077844,36.66,No
36 months,RENT,A,debt_consolidation,7.21%,CA,Current,Individual,7000,10+ years,35000.0,14.37,0,56.70%,5,0,"",36,10,56.0,43.76206961077844,14.37,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,CA,Current,Individual,25000,10+ years,180000.0,5.51,1,23.60%,16,0,"",36,10,23.0,43.76206961077844,5.51,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,PA,Current,Joint App,30000,10+ years,93500.0,12.33,0,2.40%,34,0,7.74,60,10,2.0,43.76206961077844,12.33,No
60 months,RENT,B,debt_consolidation,11.55%,AZ,Current,Individual,11000,5 years,50000.0,12.55,0,43.30%,19,0,"",60,5,43.0,43.76206961077844,12.55,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,FL,Current,Joint App,7000,1 year,125000.0,15.55,0,29.90%,38,0,14.67,36,1,29.0,43.76206961077844,15.55,No
60 months,MORTGAGE,B,credit_card,11.06%,OR,Current,Individual,10000,2 years,68000.0,10.25,1,64.60%,14,0,"",60,2,64.0,43.76206961077844,10.25,No
60 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,35000,2 years,103000.0,22.65,1,20.90%,32,0,"",60,2,20.0,43.76206961077844,22.65,No
60 months,OWN,C,debt_consolidation,14.47%,WI,Current,Individual,10000,3 years,35000.0,18.66,0,13.20%,13,0,"",60,3,13.0,43.76206961077844,18.66,No
36 months,MORTGAGE,D,debt_consolidation,20.89%,NC,Current,Individual,8000,10+ years,35000.0,27.33,0,23.30%,24,0,"",36,10,23.0,43.76206961077844,27.33,No
36 months,RENT,B,debt_consolidation,11.55%,TX,Current,Individual,18000,1 year,74000.0,17.03,0,72.20%,20,0,"",36,1,72.0,43.76206961077844,17.03,No
60 months,RENT,A,debt_consolidation,7.84%,CA,Current,Individual,40000,10+ years,175000.0,13.53,0,50.80%,13,0,"",60,10,50.0,43.76206961077844,13.53,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Fully Paid,Individual,9000,4 years,150000.0,6.65,0,48.80%,16,0,"",36,4,48.0,43.76206961077844,6.65,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,MI,Current,Individual,12000,3 years,50000.0,35.76,0,44.70%,27,0,"",60,3,44.0,43.76206961077844,35.76,No
36 months,MORTGAGE,A,other,7.84%,IL,Current,Individual,7000,10+ years,94000.0,10.21,0,16.70%,30,0,"",36,10,16.0,43.76206961077844,10.21,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,WA,Current,Individual,30000,3 years,100000.0,8.51,0,29.60%,55,0,"",60,3,29.0,43.76206961077844,8.51,No
36 months,RENT,A,credit_card,8.46%,NC,Current,Individual,8000,2 years,45000.0,16.32,1,18.90%,35,0,"",36,2,18.0,43.76206961077844,16.32,No
36 months,RENT,C,home_improvement,15.02%,AZ,Current,Individual,10000,10+ years,47600.0,23.45,0,63.40%,34,0,"",36,10,63.0,43.76206961077844,23.45,No
36 months,RENT,B,debt_consolidation,11.06%,NY,Current,Individual,12000,10+ years,75000.0,9.05,1,31.40%,18,1,"",36,10,31.0,43.76206961077844,9.05,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,MN,Current,Individual,30000,10+ years,120000.0,15.96,0,64.50%,24,0,"",36,10,64.0,43.76206961077844,15.96,No
36 months,MORTGAGE,A,credit_card,6.11%,AZ,Current,Individual,18000,< 1 year,155000.0,17.39,0,61.90%,20,0,"",36,1,61.0,43.76206961077844,17.39,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,IN,Current,Individual,40000,5 years,200000.0,13.22,0,21.50%,73,0,"",60,5,21.0,43.76206961077844,13.22,No
36 months,MORTGAGE,D,home_improvement,20.89%,OH,Current,Individual,4000,< 1 year,100000.0,19.58,0,60.70%,13,0,"",36,1,60.0,43.76206961077844,19.58,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,AZ,Current,Individual,22500,7 years,47500.0,11.05,0,13.40%,23,0,"",60,7,13.0,43.76206961077844,11.05,No
60 months,MORTGAGE,C,credit_card,16.14%,CA,Current,Individual,24000,< 1 year,179000.0,31.01,0,99.40%,22,0,"",60,1,99.0,43.76206961077844,31.01,No
60 months,RENT,C,major_purchase,14.47%,FL,Current,Individual,40000,2 years,120000.0,5.38,0,1.50%,27,0,"",60,2,1.0,43.76206961077844,5.38,No
36 months,OWN,C,debt_consolidation,14.47%,MD,Current,Individual,20000,10+ years,165000.0,14.43,1,55.20%,25,1,"",36,10,55.0,43.76206961077844,14.43,No
36 months,RENT,C,credit_card,16.91%,MA,Current,Individual,10000,5 years,47000.0,20.07,0,44%,27,0,"",36,5,44.0,43.76206961077844,20.07,No
36 months,RENT,C,credit_card,13.56%,NY,Current,Individual,4600,2 years,23400.0,23.13,0,62%,6,0,"",36,2,62.0,43.76206961077844,23.13,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,NC,Current,Individual,40000,1 year,225000.0,2.57,0,22.80%,47,0,"",36,1,22.0,43.76206961077844,2.57,No
36 months,RENT,A,major_purchase,8.46%,PA,Current,Individual,5200,10+ years,70000.0,16.32,0,47.90%,13,0,"",36,10,47.0,43.76206961077844,16.32,No
36 months,RENT,C,debt_consolidation,14.47%,ME,Current,Individual,20000,n/a,66000.0,23.93,0,66.20%,16,0,"",36,"",66.0,43.76206961077844,23.93,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,GA,Current,Individual,15000,6 years,45000.0,31.68,0,14.80%,18,0,"",36,6,14.0,43.76206961077844,31.68,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,DE,Current,Individual,35325,3 years,70000.0,22.99,0,62.20%,24,0,"",60,3,62.0,43.76206961077844,22.99,No
36 months,RENT,A,debt_consolidation,7.84%,IL,Current,Individual,18000,< 1 year,75000.0,8.42,0,13.90%,14,0,"",36,1,13.0,43.76206961077844,8.42,No
36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Individual,4000,8 years,40000.0,25.74,0,55.40%,20,0,"",36,8,55.0,43.76206961077844,25.74,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,CA,Current,Individual,10000,6 years,52000.0,22.13,0,46.70%,19,0,"",36,6,46.0,43.76206961077844,22.13,No
60 months,RENT,C,debt_consolidation,15.02%,MI,Current,Individual,25000,< 1 year,110000.0,26.31,0,40.60%,40,0,"",60,1,40.0,43.76206961077844,26.31,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,AL,Current,Joint App,40000,9 years,95000.0,36.0,0,84.80%,27,0,26.5,60,9,84.0,43.76206961077844,36.0,No
60 months,RENT,D,credit_card,19.92%,NJ,Current,Individual,20000,10+ years,140000.0,7.32,0,30.30%,55,0,"",60,10,30.0,43.76206961077844,7.32,No
60 months,OWN,D,debt_consolidation,17.97%,IL,Current,Individual,35000,8 years,80000.0,24.83,0,20.40%,22,0,"",60,8,20.0,43.76206961077844,24.83,No
60 months,RENT,D,debt_consolidation,18.94%,CA,Current,Individual,30000,10+ years,56529.0,29.87,0,51%,19,0,"",60,10,51.0,43.76206961077844,29.87,No
60 months,MORTGAGE,A,credit_card,7.84%,GA,Current,Individual,36000,10+ years,115000.0,13.68,0,82.90%,17,0,"",60,10,82.0,43.76206961077844,13.68,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,PA,Current,Individual,10000,10+ years,95000.0,19.28,0,23.80%,20,0,"",36,10,23.0,43.76206961077844,19.28,No
36 months,MORTGAGE,A,credit_card,7.21%,IL,Current,Individual,20000,< 1 year,120000.0,32.09,0,26%,45,0,"",36,1,26.0,43.76206961077844,32.09,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,MN,Current,Individual,6000,6 years,121000.0,17.99,1,30.40%,40,0,"",36,6,30.0,43.76206961077844,17.99,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,PA,Current,Individual,8500,10+ years,94000.0,14.12,0,11.60%,22,0,"",36,10,11.0,43.76206961077844,14.12,No
36 months,OWN,B,debt_consolidation,10.47%,MS,Current,Joint App,6000,10+ years,65000.0,29.38,0,1.50%,41,0,28.89,36,10,1.0,43.76206961077844,29.38,No
60 months,OWN,E,debt_consolidation,24.37%,CA,Current,Individual,30000,8 years,120000.0,25.75,0,85.50%,25,0,"",60,8,85.0,43.76206961077844,25.75,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,CA,Current,Individual,20000,< 1 year,50000.0,25.51,0,74.70%,21,0,"",36,1,74.0,43.76206961077844,25.51,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,30000,< 1 year,55000.0,11.06,0,55.20%,15,0,"",36,1,55.0,43.76206961077844,11.06,No
60 months,MORTGAGE,F,debt_consolidation,28.72%,CA,Current,Individual,30000,n/a,150000.0,13.9,0,66.60%,25,0,"",60,"",66.0,43.76206961077844,13.9,No
36 months,RENT,A,major_purchase,8.46%,CA,Current,Joint App,10000,10+ years,52000.0,12.46,0,19.50%,15,0,9.85,36,10,19.0,43.76206961077844,12.46,No
60 months,RENT,D,debt_consolidation,18.94%,NC,Current,Individual,15000,1 year,40000.0,6.51,0,88.50%,8,0,"",60,1,88.0,43.76206961077844,6.51,No
60 months,MORTGAGE,B,credit_card,11.55%,MI,Current,Individual,11200,9 years,36000.0,33.37,0,59.90%,21,0,"",60,9,59.0,43.76206961077844,33.37,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,FL,Current,Individual,12000,10+ years,70000.0,11.5,0,39.50%,26,0,"",60,10,39.0,43.76206961077844,11.5,No
36 months,RENT,B,credit_card,12.73%,CA,Current,Individual,11000,9 years,48000.0,25.05,0,49.60%,22,0,"",36,9,49.0,43.76206961077844,25.05,No
60 months,RENT,B,debt_consolidation,11.55%,CA,Current,Individual,40000,< 1 year,132000.0,18.33,0,41.60%,18,0,"",60,1,41.0,43.76206961077844,18.33,No
36 months,MORTGAGE,D,other,22.35%,CA,Current,Individual,8800,10+ years,56000.0,22.87,0,60%,12,0,"",36,10,60.0,43.76206961077844,22.87,No
60 months,MORTGAGE,C,credit_card,16.91%,CO,Current,Individual,15000,9 years,145000.0,16.49,0,72.10%,19,0,"",60,9,72.0,43.76206961077844,16.49,No
36 months,RENT,C,debt_consolidation,13.56%,IN,Current,Individual,5000,n/a,28000.0,24.9,0,49.10%,11,0,"",36,"",49.0,43.76206961077844,24.9,No
60 months,MORTGAGE,D,credit_card,19.92%,OR,Current,Individual,20000,10+ years,79000.0,21.02,0,43.50%,42,0,"",60,10,43.0,43.76206961077844,21.02,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,FL,Current,Individual,35000,3 years,76800.0,13.27,1,9.70%,47,0,"",60,3,9.0,43.76206961077844,13.27,No
36 months,RENT,A,debt_consolidation,7.21%,VA,Current,Joint App,24000,10+ years,75000.0,24.41,0,28.20%,28,0,21.37,36,10,28.0,43.76206961077844,24.41,No
60 months,RENT,D,debt_consolidation,19.92%,TX,Current,Individual,10000,3 years,140000.0,23.92,0,64.10%,38,0,"",60,3,64.0,43.76206961077844,23.92,No
60 months,RENT,E,other,27.27%,VA,Late (31-120 days),Individual,30000,< 1 year,94500.0,26.2,0,25.70%,38,0,"",60,1,25.0,43.76206961077844,26.2,Yes
36 months,MORTGAGE,A,debt_consolidation,7.21%,TX,Current,Individual,12000,10+ years,85000.0,13.03,0,39.40%,19,0,"",36,10,39.0,43.76206961077844,13.03,No
36 months,MORTGAGE,A,credit_card,7.21%,CA,Current,Individual,8500,7 years,35000.0,22.94,0,68.90%,16,0,"",36,7,68.0,43.76206961077844,22.94,No
36 months,MORTGAGE,B,major_purchase,10.47%,GA,Current,Individual,3025,3 years,75000.0,13.7,0,14.80%,18,0,"",36,3,14.0,43.76206961077844,13.7,No
36 months,RENT,E,vacation,23.40%,TX,Current,Joint App,1000,5 years,53000.0,20.86,0,60.20%,18,0,22.2,36,5,60.0,43.76206961077844,20.86,No
36 months,RENT,B,debt_consolidation,11.06%,FL,Current,Individual,6500,3 years,39000.0,23.6,3,67.30%,19,0,"",36,3,67.0,43.76206961077844,23.6,No
36 months,RENT,C,other,16.91%,NV,Current,Individual,1000,5 years,28000.0,28.72,0,25.40%,8,0,"",36,5,25.0,43.76206961077844,28.72,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,CO,Late (31-120 days),Individual,8800,10+ years,25500.0,17.18,0,8.60%,26,0,"",36,10,8.0,43.76206961077844,17.18,Yes
36 months,RENT,A,credit_card,6.11%,GA,Current,Individual,4000,2 years,60000.0,6.08,1,36.80%,14,0,"",36,2,36.0,43.76206961077844,6.08,No
36 months,RENT,A,debt_consolidation,6.11%,AR,Current,Individual,10000,2 years,48000.0,23.5,0,23.60%,33,0,"",36,2,23.0,43.76206961077844,23.5,No
36 months,OWN,B,credit_card,10.47%,FL,Current,Individual,8000,7 years,36350.0,35.06,0,48.80%,12,0,"",36,7,48.0,43.76206961077844,35.06,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,FL,Current,Individual,2000,10+ years,52000.0,15.19,0,51.30%,19,0,"",36,10,51.0,43.76206961077844,15.19,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,NV,Current,Joint App,10000,2 years,36000.0,42.37,0,45.30%,10,0,18.41,60,2,45.0,43.76206961077844,42.37,No
36 months,RENT,B,credit_card,11.55%,MT,Current,Individual,5500,< 1 year,33000.0,15.85,0,48.50%,9,0,"",36,1,48.0,43.76206961077844,15.85,No
36 months,RENT,E,other,24.37%,NY,Current,Individual,2200,n/a,15000.0,4.96,0,17.40%,7,0,"",36,"",17.0,43.76206961077844,4.96,No
60 months,RENT,B,debt_consolidation,11.55%,NH,Current,Individual,30000,2 years,103000.0,16.32,0,60%,30,0,"",60,2,60.0,43.76206961077844,16.32,No
36 months,OWN,A,credit_card,7.21%,TX,Current,Individual,6800,5 years,40800.0,17.76,0,3%,23,0,"",36,5,3.0,43.76206961077844,17.76,No
36 months,MORTGAGE,D,debt_consolidation,22.35%,IN,Late (31-120 days),Individual,4000,< 1 year,82000.0,29.62,0,67.90%,59,0,"",36,1,67.0,43.76206961077844,29.62,Yes
36 months,MORTGAGE,C,home_improvement,13.56%,NJ,Current,Individual,8000,< 1 year,90000.0,25.97,0,62.10%,39,0,"",36,1,62.0,43.76206961077844,25.97,No
36 months,RENT,A,credit_card,6.11%,NY,Current,Individual,20000,8 years,150000.0,7.42,0,32.60%,17,0,"",36,8,32.0,43.76206961077844,7.42,No
36 months,OWN,A,debt_consolidation,7.84%,NJ,Current,Individual,21000,4 years,41078.0,28.98,0,43.60%,17,0,"",36,4,43.0,43.76206961077844,28.98,No
60 months,OWN,D,credit_card,18.94%,FL,Current,Individual,15000,2 years,66000.0,33.53,0,83.80%,14,0,"",60,2,83.0,43.76206961077844,33.53,No
36 months,RENT,C,other,16.14%,TX,Current,Individual,10000,2 years,70000.0,2.55,0,17.80%,7,0,"",36,2,17.0,43.76206961077844,2.55,No
60 months,MORTGAGE,E,credit_card,23.40%,SC,Current,Individual,16000,10+ years,72000.0,31.75,0,46.20%,24,0,"",60,10,46.0,43.76206961077844,31.75,No
36 months,RENT,B,debt_consolidation,10.47%,NY,Current,Individual,10000,2 years,61000.0,20.7,0,28%,28,0,"",36,2,28.0,43.76206961077844,20.7,No
60 months,MORTGAGE,C,credit_card,13.56%,HI,Current,Individual,16000,4 years,95000.0,8.68,0,36.40%,19,0,"",60,4,36.0,43.76206961077844,8.68,No
36 months,RENT,C,debt_consolidation,16.14%,FL,Current,Individual,24000,2 years,80000.0,5.15,0,23.70%,13,0,"",36,2,23.0,43.76206961077844,5.15,No
60 months,MORTGAGE,D,debt_consolidation,17.97%,GA,Current,Individual,20000,6 years,55000.0,22.91,0,54.50%,20,0,"",60,6,54.0,43.76206961077844,22.91,No
36 months,OWN,C,debt_consolidation,14.47%,WA,Current,Individual,20000,10+ years,105000.0,25.46,0,79.90%,26,0,"",36,10,79.0,43.76206961077844,25.46,No
60 months,RENT,B,debt_consolidation,11.55%,VA,Current,Individual,21350,4 years,51000.0,22.99,0,80.20%,32,0,"",60,4,80.0,43.76206961077844,22.99,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,CA,Current,Individual,40000,3 years,65000.0,6.96,0,81.20%,8,0,"",36,3,81.0,43.76206961077844,6.96,No
36 months,MORTGAGE,A,credit_card,7.84%,AZ,Current,Individual,40000,2 years,120000.0,21.66,1,21.60%,35,0,"",36,2,21.0,43.76206961077844,21.66,No
36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Joint App,5000,4 years,52000.0,28.25,0,30.60%,43,0,34.41,36,4,30.0,43.76206961077844,28.25,No
36 months,RENT,B,debt_consolidation,10.47%,IL,Current,Individual,15000,< 1 year,70000.0,5.4,0,29.30%,19,0,"",36,1,29.0,43.76206961077844,5.4,No
36 months,RENT,C,debt_consolidation,16.91%,NC,Current,Individual,6000,10+ years,25000.0,11.43,1,54.90%,18,0,"",36,10,54.0,43.76206961077844,11.43,No
