term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,delinq_2yrs,total_acc,num_tl_90g_dpd_24m,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
60 months,OWN,E,debt_consolidation,23.40%,WV,Current,Individual,21000,8 years,61000.0,0,47,0,60,8,82.0,43.76206961077844,29.14,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,NJ,Current,Joint App,6500,1 year,24916.0,0,26,0,36,1,51.0,43.76206961077844,70.28,No
36 months,MORTGAGE,B,debt_consolidation,12.73%,PA,Current,Individual,8000,< 1 year,75000.0,0,18,0,36,1,36.0,43.76206961077844,21.04,No
36 months,MORTGAGE,A,credit_card,6.11%,ME,Current,Joint App,30000,n/a,100000.0,0,19,0,36,"",1.0,43.76206961077844,2.05,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,IL,Current,Individual,22000,10+ years,67000.0,0,28,0,60,10,72.0,43.76206961077844,30.52,No
36 months,OWN,B,medical,10.47%,MO,Current,Individual,12800,10+ years,103768.0,1,20,0,36,10,48.0,43.76206961077844,18.94,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,NY,Current,Joint App,33850,1 year,70000.0,0,25,0,60,1,21.0,43.76206961077844,26.64,No
36 months,MORTGAGE,A,credit_card,6.11%,AR,Current,Individual,35000,< 1 year,100000.0,0,39,0,36,1,46.0,43.76206961077844,17.98,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Current,Individual,8000,10+ years,65000.0,0,19,0,36,10,56.0,43.76206961077844,24.94,No
36 months,RENT,B,debt_consolidation,10.47%,MA,Current,Individual,7000,< 1 year,105000.0,0,13,0,36,1,12.0,43.76206961077844,5.55,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,PA,Current,Joint App,40000,6 years,36000.0,0,29,0,36,6,29.0,43.76206961077844,49.67,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,VA,Current,Individual,20000,2 years,140000.0,1,16,0,60,2,71.0,43.76206961077844,6.2,No
60 months,RENT,D,debt_consolidation,22.35%,CO,Current,Joint App,10000,9 years,30000.0,0,15,0,60,9,2.0,43.76206961077844,20.84,No
60 months,OWN,B,credit_card,12.73%,NY,Current,Individual,35000,10+ years,178000.0,4,55,1,60,10,52.0,43.76206961077844,16.56,No
36 months,RENT,C,debt_consolidation,15.02%,OH,Current,Individual,15000,10+ years,64000.0,0,17,0,36,10,26.0,43.76206961077844,15.54,No
36 months,MORTGAGE,C,home_improvement,16.14%,MI,Current,Joint App,6000,8 years,70000.0,0,11,0,36,8,63.0,43.76206961077844,16.63,No
36 months,RENT,A,other,8.46%,MN,Current,Individual,3200,10+ years,75000.0,0,6,0,36,10,10.0,43.76206961077844,14.43,No
36 months,MORTGAGE,B,other,10.47%,FL,Current,Individual,6000,10+ years,75000.0,0,23,0,36,10,40.0,43.76206961077844,19.06,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,CA,Current,Individual,9000,7 years,65000.0,0,33,0,36,7,26.0,43.76206961077844,22.08,No
60 months,RENT,E,credit_card,27.27%,AZ,Current,Joint App,28000,5 years,90000.0,1,16,1,60,5,97.0,43.76206961077844,20.21,No
60 months,RENT,B,credit_card,11.55%,DC,Late (31-120 days),Individual,12000,2 years,33000.0,1,11,1,60,2,24.0,43.76206961077844,12.58,Yes
36 months,RENT,D,debt_consolidation,18.94%,FL,In Grace Period,Individual,5000,10+ years,30000.0,0,20,0,36,10,36.0,43.76206961077844,33.88,Yes
36 months,OWN,C,credit_card,13.56%,PA,Current,Individual,10000,5 years,41000.0,0,13,0,36,5,35.0,43.76206961077844,29.77,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,NY,Fully Paid,Individual,2725,5 years,80000.0,0,17,0,36,5,97.0,43.76206961077844,23.81,No
36 months,RENT,A,credit_card,7.21%,IL,Current,Individual,12000,10+ years,50000.0,0,8,0,36,10,57.0,43.76206961077844,19.9,No
60 months,MORTGAGE,C,credit_card,13.56%,AZ,Current,Individual,20000,9 years,102000.0,0,29,0,60,9,65.0,43.76206961077844,12.53,No
36 months,RENT,D,debt_consolidation,20.89%,NC,In Grace Period,Individual,12000,< 1 year,42500.0,0,5,0,36,1,70.0,43.76206961077844,20.84,Yes
60 months,MORTGAGE,B,credit_card,10.47%,CT,Current,Joint App,24000,10+ years,90000.0,0,31,0,60,10,69.0,43.76206961077844,20.47,No
36 months,RENT,A,other,7.21%,CA,Current,Individual,8000,n/a,36000.0,0,46,0,36,"",33.0,43.76206961077844,12.03,No
60 months,MORTGAGE,D,debt_consolidation,20.89%,OH,Current,Individual,20000,10+ years,94000.0,0,54,0,60,10,25.0,43.76206961077844,32.86,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,ID,Current,Joint App,24000,6 years,35000.0,0,16,0,36,6,102.0,43.76206961077844,34.67,No
36 months,RENT,A,other,6.11%,CA,Current,Individual,5000,n/a,84000.0,0,9,0,36,"",47.0,43.76206961077844,13.38,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,MO,Current,Individual,30000,7 years,125000.0,0,34,0,60,7,37.0,43.76206961077844,15.35,No
36 months,MORTGAGE,A,credit_card,7.21%,FL,Current,Individual,23000,10+ years,100000.0,0,24,0,36,10,29.0,43.76206961077844,19.26,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,NC,Current,Individual,23000,6 years,62000.0,0,42,0,60,6,30.0,43.76206961077844,17.6,No
36 months,MORTGAGE,B,other,10.47%,OR,Current,Individual,4000,10+ years,83000.0,0,10,0,36,10,44.0,43.76206961077844,10.83,No
36 months,MORTGAGE,C,other,13.56%,TX,Current,Individual,6000,7 years,87800.0,2,21,0,36,7,100.0,43.76206961077844,16.03,No
36 months,MORTGAGE,A,credit_card,6.11%,MN,Current,Individual,9500,4 years,103000.0,0,16,0,36,4,20.0,43.76206961077844,13.74,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,WA,Current,Joint App,31150,9 years,72000.0,1,22,0,36,9,24.0,43.76206961077844,14.0,No
36 months,RENT,C,debt_consolidation,16.14%,FL,Current,Individual,5000,5 years,30000.0,0,8,0,36,5,23.0,43.76206961077844,15.64,No
36 months,RENT,D,debt_consolidation,20.89%,PA,Current,Individual,11000,3 years,35000.0,0,36,0,36,3,35.0,43.76206961077844,31.1,No
60 months,OWN,F,debt_consolidation,30.17%,AL,Current,Individual,19700,7 years,38772.0,0,34,0,60,7,32.0,43.76206961077844,26.31,No
60 months,RENT,C,debt_consolidation,14.47%,NY,Current,Individual,12000,< 1 year,30000.0,0,10,0,60,1,34.0,43.76206961077844,10.04,No
36 months,MORTGAGE,D,home_improvement,17.97%,FL,Fully Paid,Individual,10000,< 1 year,55000.0,0,11,0,36,1,10.0,43.76206961077844,6.13,No
36 months,MORTGAGE,B,credit_card,10.47%,HI,Current,Individual,25000,10+ years,100000.0,0,32,0,36,10,55.0,43.76206961077844,36.89,No
36 months,RENT,C,credit_card,15.02%,NY,Current,Individual,1000,10+ years,82000.0,0,11,0,36,10,71.0,43.76206961077844,13.92,No
36 months,RENT,C,moving,13.56%,FL,Current,Individual,3000,9 years,32000.0,0,11,0,36,9,16.0,43.76206961077844,15.98,No
36 months,RENT,C,debt_consolidation,16.91%,VA,Fully Paid,Individual,1000,n/a,20000.0,0,35,0,36,"",3.0,43.76206961077844,10.2,No
36 months,OWN,B,home_improvement,10.47%,AZ,Current,Individual,5000,< 1 year,60000.0,0,27,0,36,1,32.0,43.76206961077844,34.45,No
36 months,RENT,A,debt_consolidation,6.67%,IN,Current,Individual,3000,1 year,30000.0,0,5,0,36,1,6.0,43.76206961077844,7.24,No
60 months,RENT,C,credit_card,15.02%,AZ,Current,Individual,13000,8 years,65000.0,3,55,0,60,8,35.0,43.76206961077844,19.77,No
36 months,MORTGAGE,A,credit_card,8.46%,AZ,Current,Individual,3000,10+ years,67000.0,0,10,0,36,10,46.0,43.76206961077844,10.94,No
36 months,MORTGAGE,D,debt_consolidation,20.89%,AL,Current,Joint App,2400,10+ years,45000.0,2,19,0,36,10,97.0,43.76206961077844,35.47,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,CO,Current,Individual,2500,10+ years,42000.0,0,6,0,36,10,32.0,43.76206961077844,11.43,No
36 months,MORTGAGE,A,credit_card,7.21%,SC,Current,Individual,9000,< 1 year,80000.0,0,26,0,36,1,19.0,43.76206961077844,10.85,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,NY,Current,Individual,15000,10+ years,250000.0,1,30,0,36,10,68.0,43.76206961077844,16.62,No
36 months,MORTGAGE,B,credit_card,11.55%,MD,Current,Individual,35000,9 years,120000.0,0,49,0,36,9,91.0,43.76206961077844,20.78,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,LA,Current,Individual,21000,4 years,72000.0,0,12,0,60,4,27.0,43.76206961077844,11.07,No
60 months,MORTGAGE,A,credit_card,7.21%,LA,Current,Individual,12000,10+ years,49000.0,0,8,0,60,10,62.0,43.76206961077844,13.54,No
36 months,OWN,A,credit_card,6.11%,KY,Current,Individual,5000,n/a,16000.0,0,15,0,36,"",60.0,43.76206961077844,38.18,No
36 months,RENT,B,debt_consolidation,12.73%,FL,Current,Joint App,15000,10+ years,22500.0,0,11,0,36,10,26.0,43.76206961077844,17.01,No
60 months,MORTGAGE,B,debt_consolidation,11.55%,NJ,Current,Joint App,30000,n/a,25000.0,0,18,0,60,"",41.0,43.76206961077844,53.0,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,TX,Current,Individual,8000,< 1 year,50000.0,0,31,0,36,1,21.0,43.76206961077844,26.76,No
36 months,RENT,C,debt_consolidation,15.02%,CA,Late (31-120 days),Individual,16000,10+ years,55000.0,0,28,0,36,10,75.0,43.76206961077844,22.61,Yes
36 months,RENT,E,other,27.27%,TX,Current,Individual,5000,4 years,95000.0,0,37,0,36,4,74.0,43.76206961077844,33.0,No
60 months,RENT,D,credit_card,17.97%,WI,Current,Individual,15000,2 years,70000.0,0,25,0,60,2,60.0,43.76206961077844,23.37,No
36 months,RENT,C,other,15.02%,CA,Current,Individual,4000,< 1 year,25080.0,0,48,0,36,1,9.0,43.76206961077844,14.93,No
36 months,RENT,A,credit_card,7.21%,CA,Current,Individual,9000,4 years,32000.0,0,22,0,36,4,23.0,43.76206961077844,10.47,No
36 months,MORTGAGE,D,debt_consolidation,20.89%,GA,Current,Individual,10000,10+ years,68555.0,2,41,0,36,10,42.0,43.76206961077844,23.27,No
36 months,OWN,B,debt_consolidation,10.08%,NJ,Current,Individual,5500,3 years,420000.0,0,20,0,36,3,53.0,43.76206961077844,4.48,No
36 months,MORTGAGE,A,credit_card,6.11%,NJ,Current,Joint App,6000,4 years,64000.0,0,12,0,36,4,13.0,43.76206961077844,25.95,No
36 months,MORTGAGE,F,home_improvement,30.65%,FL,Current,Individual,1000,10+ years,40000.0,0,3,0,36,10,18.0,43.76206961077844,2.85,No
36 months,RENT,A,debt_consolidation,6.11%,MD,Current,Individual,5000,10+ years,60000.0,0,20,0,36,10,1.0,43.76206961077844,10.82,No
36 months,RENT,A,credit_card,6.67%,CA,Current,Individual,7000,2 years,65000.0,0,30,0,36,2,57.0,43.76206961077844,14.57,No
36 months,MORTGAGE,A,credit_card,6.11%,NJ,Current,Individual,40000,10+ years,105000.0,0,34,0,36,10,41.0,43.76206961077844,14.5,No
60 months,OWN,B,credit_card,11.55%,MN,Current,Individual,10000,n/a,60000.0,0,13,0,60,"",84.0,43.76206961077844,7.02,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,TX,Current,Individual,19000,8 years,140000.0,1,15,0,60,8,19.0,43.76206961077844,10.92,No
60 months,MORTGAGE,D,debt_consolidation,20.89%,TX,Current,Joint App,24000,7 years,47000.0,0,23,0,60,7,37.0,43.76206961077844,38.05,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,OK,Current,Individual,20000,< 1 year,75206.0,0,22,0,36,1,49.0,43.76206961077844,5.93,No
60 months,RENT,D,credit_card,17.97%,HI,Current,Individual,30000,4 years,93000.0,0,30,0,60,4,77.0,43.76206961077844,38.43,No
36 months,MORTGAGE,A,credit_card,7.84%,ID,Current,Joint App,15000,10+ years,80000.0,0,10,0,36,10,92.0,43.76206961077844,11.49,No
36 months,RENT,C,debt_consolidation,15.02%,GA,Fully Paid,Individual,15000,5 years,84000.0,0,30,0,36,5,28.0,43.76206961077844,36.52,No
60 months,MORTGAGE,C,debt_consolidation,16.91%,WA,Current,Individual,13500,10+ years,65000.0,0,19,0,60,10,76.0,43.76206961077844,23.01,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,MA,Current,Individual,25000,< 1 year,55000.0,0,23,0,36,1,64.0,43.76206961077844,32.53,No
36 months,OWN,E,debt_consolidation,23.40%,CT,Current,Individual,22100,n/a,160000.0,3,16,0,36,"",36.0,43.76206961077844,10.84,No
60 months,OWN,B,debt_consolidation,11.06%,NY,Current,Individual,25000,< 1 year,105000.0,0,25,0,60,1,49.0,43.76206961077844,24.09,No
36 months,MORTGAGE,B,debt_consolidation,12.73%,TN,Current,Individual,6600,10+ years,145000.0,2,24,1,36,10,89.0,43.76206961077844,16.89,No
36 months,MORTGAGE,A,home_improvement,7.21%,CA,Current,Individual,10000,5 years,81000.0,0,25,0,36,5,29.0,43.76206961077844,21.2,No
36 months,RENT,A,debt_consolidation,8.46%,NY,Current,Individual,10000,n/a,42000.0,0,51,0,36,"",11.0,43.76206961077844,34.26,No
60 months,MORTGAGE,B,debt_consolidation,11.55%,MN,Late (16-30 days),Individual,21600,1 year,72000.0,0,27,0,60,1,1.0,43.76206961077844,19.28,Yes
36 months,RENT,B,debt_consolidation,10.47%,CA,Current,Individual,14000,2 years,200000.0,0,28,0,36,2,36.0,43.76206961077844,16.48,No
36 months,RENT,A,credit_card,6.11%,MO,Current,Individual,6000,3 years,63000.0,0,10,0,36,3,4.0,43.76206961077844,10.13,No
36 months,MORTGAGE,A,credit_card,6.67%,AR,Current,Individual,10000,10+ years,72000.0,0,23,0,36,10,38.0,43.76206961077844,32.47,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,IL,Current,Individual,10000,2 years,63000.0,0,15,0,36,2,88.0,43.76206961077844,23.87,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,MD,Current,Individual,20000,10+ years,98500.0,0,25,0,36,10,31.0,43.76206961077844,17.82,No
36 months,RENT,A,debt_consolidation,6.67%,TX,Current,Individual,20000,1 year,115000.0,0,23,0,36,1,13.0,43.76206961077844,19.41,No
36 months,RENT,C,debt_consolidation,14.47%,TX,Current,Individual,13000,3 years,91800.0,0,6,0,36,3,87.0,43.76206961077844,8.81,No
36 months,RENT,C,credit_card,14.47%,TX,Current,Individual,30000,< 1 year,112500.0,0,23,0,36,1,52.0,43.76206961077844,16.27,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Current,Individual,20000,2 years,68000.0,0,12,0,60,2,60.0,43.76206961077844,12.6,No
36 months,RENT,C,debt_consolidation,13.56%,TN,Current,Individual,16000,10+ years,55000.0,0,31,0,36,10,85.0,43.76206961077844,19.55,No
36 months,RENT,A,credit_card,7.84%,IL,Fully Paid,Individual,25000,10+ years,110000.0,0,19,0,36,10,49.0,43.76206961077844,8.62,No
60 months,RENT,C,debt_consolidation,16.91%,CA,Current,Individual,35000,10+ years,185000.0,0,20,0,60,10,69.0,43.76206961077844,14.77,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,CA,Current,Individual,5300,10+ years,57000.0,0,5,0,36,10,21.0,43.76206961077844,2.13,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,KY,Current,Individual,11150,10+ years,44000.0,0,13,0,36,10,84.0,43.76206961077844,22.42,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,NC,Current,Individual,20000,3 years,35000.0,0,35,0,60,3,26.0,43.76206961077844,22.15,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,FL,Fully Paid,Joint App,25000,n/a,50000.0,0,17,0,60,"",7.0,43.76206961077844,17.98,No
36 months,MORTGAGE,A,credit_card,6.11%,WI,Current,Joint App,18500,9 years,53793.0,0,34,0,36,9,28.0,43.76206961077844,29.6,No
60 months,RENT,B,major_purchase,10.47%,AZ,Current,Individual,10000,10+ years,70000.0,0,27,0,60,10,15.0,43.76206961077844,15.81,No
36 months,RENT,B,credit_card,10.47%,MO,Current,Individual,18000,10+ years,75000.0,0,25,0,36,10,79.0,43.76206961077844,18.4,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,TX,Current,Individual,3600,10+ years,47000.0,2,11,1,36,10,47.0,43.76206961077844,2.63,No
36 months,MORTGAGE,D,debt_consolidation,22.35%,WA,Current,Individual,6500,8 years,73000.0,0,17,0,36,8,85.0,43.76206961077844,20.89,No
36 months,RENT,B,debt_consolidation,11.55%,NY,Current,Individual,10000,3 years,350000.0,0,8,0,36,3,27.0,43.76206961077844,1.91,No
36 months,RENT,A,debt_consolidation,6.11%,AZ,Current,Individual,10000,10+ years,80000.0,0,8,0,36,10,60.0,43.76206961077844,12.54,No
60 months,RENT,B,debt_consolidation,11.55%,FL,Current,Individual,18000,10+ years,131912.0,0,19,0,60,10,49.0,43.76206961077844,12.95,No
36 months,OWN,C,debt_consolidation,15.02%,CA,Current,Individual,18000,10+ years,79500.0,0,15,0,36,10,17.0,43.76206961077844,13.18,No
60 months,RENT,D,credit_card,17.97%,IL,Current,Individual,32000,7 years,70000.0,0,23,0,60,7,31.0,43.76206961077844,20.61,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,NH,Current,Individual,10000,3 years,96500.0,0,13,0,36,3,27.0,43.76206961077844,5.16,No
60 months,RENT,A,credit_card,6.11%,CA,Current,Individual,15000,10+ years,68400.0,0,11,0,60,10,70.0,43.76206961077844,7.23,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,CA,Current,Individual,12000,5 years,50000.0,0,19,0,36,5,47.0,43.76206961077844,27.51,No
60 months,RENT,B,credit_card,11.55%,OK,Current,Joint App,25000,5 years,55000.0,0,11,0,60,5,76.0,43.76206961077844,24.63,No
36 months,RENT,A,credit_card,6.11%,MI,Current,Individual,8000,2 years,65000.0,0,8,0,36,2,56.0,43.76206961077844,17.43,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,TX,Current,Individual,15000,10+ years,67537.0,0,22,0,60,10,10.0,43.76206961077844,22.28,No
60 months,MORTGAGE,B,moving,10.47%,TX,Current,Individual,12000,< 1 year,150000.0,0,18,0,60,1,18.0,43.76206961077844,8.29,No
36 months,MORTGAGE,A,home_improvement,6.11%,CO,Current,Individual,6500,< 1 year,148000.0,0,65,0,36,1,14.0,43.76206961077844,14.32,No
60 months,RENT,E,credit_card,24.37%,CA,Current,Individual,20000,10+ years,47000.0,1,9,0,60,10,57.0,43.76206961077844,12.72,No
60 months,MORTGAGE,A,credit_card,7.84%,AZ,Current,Individual,10000,2 years,49000.0,0,22,0,60,2,23.0,43.76206961077844,23.02,No
36 months,RENT,D,vacation,17.97%,NY,Current,Individual,10000,10+ years,52000.0,2,15,0,36,10,67.0,43.76206961077844,19.29,No
36 months,RENT,A,credit_card,7.21%,TX,Current,Individual,15000,5 years,78000.0,0,35,0,36,5,17.0,43.76206961077844,22.82,No
36 months,OWN,A,house,6.11%,VA,Current,Individual,40000,2 years,163720.0,0,19,0,36,2,9.0,43.76206961077844,11.98,No
36 months,OWN,A,debt_consolidation,6.11%,TX,Current,Individual,20000,10+ years,89000.0,0,71,0,36,10,18.0,43.76206961077844,18.81,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,CA,Current,Individual,13000,10+ years,80000.0,1,23,1,60,10,69.0,43.76206961077844,17.69,No
36 months,RENT,B,debt_consolidation,10.47%,WA,Current,Individual,10800,3 years,35000.0,0,8,0,36,3,40.0,43.76206961077844,19.96,No
36 months,MORTGAGE,D,credit_card,19.92%,OH,Current,Individual,12000,2 years,80000.0,0,29,0,36,2,41.0,43.76206961077844,26.61,No
36 months,MORTGAGE,A,other,7.21%,FL,Fully Paid,Joint App,9000,10+ years,55000.0,0,34,0,36,10,21.0,43.76206961077844,23.33,No
36 months,RENT,B,credit_card,11.55%,OH,Current,Individual,6000,5 years,37770.0,0,6,0,36,5,65.0,43.76206961077844,20.65,No
36 months,MORTGAGE,A,credit_card,6.67%,CT,Current,Individual,6000,2 years,70000.0,0,11,0,36,2,49.0,43.76206961077844,24.31,No
60 months,MORTGAGE,B,home_improvement,12.73%,CA,Fully Paid,Joint App,40000,3 years,25000.0,0,20,0,60,3,52.0,43.76206961077844,82.09,No
36 months,RENT,A,debt_consolidation,8.46%,PA,Current,Individual,8000,9 years,48922.0,0,13,0,36,9,6.0,43.76206961077844,12.24,No
60 months,RENT,B,credit_card,10.47%,CA,Current,Individual,15000,3 years,60993.0,0,16,0,60,3,32.0,43.76206961077844,17.37,No
36 months,MORTGAGE,C,debt_consolidation,16.91%,NV,Current,Individual,6000,3 years,29721.0,0,13,0,36,3,49.0,43.76206961077844,11.39,No
60 months,MORTGAGE,C,credit_card,13.56%,VT,Current,Individual,32500,10+ years,74500.0,0,17,0,60,10,94.0,43.76206961077844,22.84,No
60 months,RENT,C,debt_consolidation,16.91%,IL,Current,Individual,16000,5 years,50000.0,0,13,0,60,5,83.0,43.76206961077844,16.35,No
36 months,RENT,A,debt_consolidation,7.21%,NV,Fully Paid,Individual,5000,4 years,80000.0,0,9,0,36,4,24.0,43.76206961077844,14.34,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,NY,Current,Individual,20000,10+ years,73000.0,0,40,0,60,10,80.0,43.76206961077844,37.84,No
60 months,MORTGAGE,C,home_improvement,13.56%,FL,Current,Individual,28000,4 years,230000.0,1,32,0,60,4,35.0,43.76206961077844,19.45,No
36 months,RENT,B,credit_card,10.47%,AZ,Current,Individual,3000,1 year,27500.0,0,5,0,36,1,24.0,43.76206961077844,19.99,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,TX,Current,Joint App,5000,1 year,60000.0,0,19,0,36,1,53.0,43.76206961077844,13.94,No
36 months,RENT,C,debt_consolidation,13.56%,MD,Current,Individual,12000,4 years,41000.0,0,14,0,36,4,77.0,43.76206961077844,35.57,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,NJ,Current,Individual,10000,10+ years,90000.0,2,22,1,36,10,55.0,43.76206961077844,11.76,No
36 months,OWN,B,credit_card,10.47%,OH,Current,Individual,11000,10+ years,68000.0,0,28,0,36,10,67.0,43.76206961077844,10.55,No
36 months,RENT,B,major_purchase,11.55%,CA,Current,Individual,3600,6 years,45000.0,0,25,0,36,6,18.0,43.76206961077844,21.41,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,AZ,Current,Individual,40000,10+ years,430000.0,0,18,0,60,10,83.0,43.76206961077844,9.59,No
36 months,RENT,A,credit_card,6.11%,TX,Fully Paid,Individual,6000,5 years,60000.0,0,22,0,36,5,17.0,43.76206961077844,21.64,No
36 months,RENT,B,debt_consolidation,10.08%,MD,Current,Individual,15000,10+ years,120000.0,0,15,0,36,10,55.0,43.76206961077844,17.74,No
36 months,RENT,B,other,11.06%,GA,Current,Individual,40000,4 years,120000.0,0,18,0,36,4,30.0,43.76206961077844,8.78,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,WV,Current,Individual,6500,7 years,50000.0,0,10,0,36,7,5.0,43.76206961077844,1.8,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,PA,Current,Individual,25000,10+ years,72000.0,0,23,0,36,10,61.0,43.76206961077844,23.88,No
60 months,MORTGAGE,D,credit_card,20.89%,NJ,Current,Individual,25025,< 1 year,200000.0,0,31,0,60,1,64.0,43.76206961077844,35.76,No
60 months,MORTGAGE,B,other,12.73%,DE,Current,Joint App,11000,< 1 year,25000.0,0,10,0,60,1,9.0,43.76206961077844,21.03,No
36 months,RENT,C,debt_consolidation,16.91%,MD,Current,Individual,29000,4 years,75000.0,0,22,0,36,4,66.0,43.76206961077844,37.07,No
36 months,OWN,A,debt_consolidation,6.11%,PA,Current,Individual,40000,10+ years,164460.0,0,16,0,36,10,91.0,43.76206961077844,16.07,No
36 months,OWN,C,debt_consolidation,16.91%,MI,Current,Individual,30000,10+ years,151000.0,0,19,0,36,10,86.0,43.76206961077844,10.01,No
36 months,RENT,D,debt_consolidation,22.35%,WI,Current,Individual,22175,10+ years,50400.0,0,19,0,36,10,85.0,43.76206961077844,22.67,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,NY,Fully Paid,Individual,3600,10+ years,90000.0,0,44,0,36,10,35.0,43.76206961077844,4.01,No
36 months,RENT,A,credit_card,8.46%,NY,Current,Individual,10000,3 years,132000.0,0,8,0,36,3,25.0,43.76206961077844,2.14,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,GA,Current,Individual,15000,5 years,100000.0,0,22,0,36,5,26.0,43.76206961077844,23.96,No
60 months,RENT,C,debt_consolidation,13.56%,NV,Current,Individual,10500,4 years,45500.0,0,28,0,60,4,24.0,43.76206961077844,29.94,No
36 months,RENT,B,credit_card,11.55%,MA,Current,Individual,6025,2 years,54000.0,0,15,0,36,2,29.0,43.76206961077844,17.14,No
60 months,RENT,D,debt_consolidation,17.97%,MD,Current,Individual,21600,2 years,70000.0,0,17,0,60,2,39.0,43.76206961077844,30.12,No
36 months,MORTGAGE,A,home_improvement,6.67%,MN,Current,Individual,7500,n/a,61000.0,0,23,0,36,"",17.0,43.76206961077844,18.08,No
36 months,MORTGAGE,A,credit_card,6.11%,NJ,Current,Individual,12000,10+ years,61000.0,0,18,0,36,10,25.0,43.76206961077844,4.01,No
60 months,MORTGAGE,D,debt_consolidation,22.35%,TX,Current,Individual,16000,5 years,88000.0,0,19,0,60,5,24.0,43.76206961077844,19.71,No
36 months,RENT,A,credit_card,6.11%,NJ,Current,Individual,10000,10+ years,54000.0,0,7,0,36,10,73.0,43.76206961077844,5.13,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,TX,Current,Joint App,25000,10+ years,100000.0,0,16,0,36,10,71.0,43.76206961077844,14.41,No
36 months,RENT,D,debt_consolidation,17.97%,OR,Current,Individual,2500,1 year,35500.0,0,19,0,36,1,63.0,43.76206961077844,18.59,No
60 months,RENT,B,credit_card,11.55%,IL,Current,Individual,20000,< 1 year,100000.0,0,27,0,60,1,29.0,43.76206961077844,4.26,No
60 months,MORTGAGE,D,debt_consolidation,22.35%,PA,Current,Individual,10000,10+ years,40000.0,0,9,0,60,10,31.0,43.76206961077844,8.64,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,IN,Fully Paid,Joint App,7500,10+ years,34000.0,4,30,1,36,10,63.0,43.76206961077844,25.59,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,MS,Current,Individual,20000,6 years,100000.0,0,17,0,60,6,21.0,43.76206961077844,13.26,No
36 months,RENT,B,credit_card,12.73%,GA,Current,Individual,5000,2 years,60000.0,0,28,0,36,2,39.0,43.76206961077844,30.48,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,GA,Current,Individual,30000,7 years,118000.0,0,20,0,60,7,64.0,43.76206961077844,21.07,No
60 months,RENT,B,debt_consolidation,10.08%,NV,Current,Individual,15000,< 1 year,32300.0,0,10,0,60,1,28.0,43.76206961077844,8.88,No
36 months,RENT,A,debt_consolidation,7.21%,OK,Current,Individual,12000,4 years,29000.0,0,20,0,36,4,28.0,43.76206961077844,22.27,No
36 months,MORTGAGE,C,debt_consolidation,16.91%,FL,Current,Individual,5000,10+ years,78500.0,1,33,0,36,10,60.0,43.76206961077844,9.2,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,MD,Current,Individual,16000,3 years,79886.0,0,21,0,60,3,42.0,43.76206961077844,7.24,No
